1		Hypothesis A	Sentence A	Entity A	Hypothesis B	Sentence B	Entity B	Cooper	Maddie	Maui	Naz	Number of matching (ratio of num "M" / people)	Ratio (M/Total)	Subclasses	Linked	Not Matching	Opposites
29	90304	h2	the reduction of disability would lead to the reduction of associated costs.	disability	h2	The hypothesized sensory deficiency might be due to movement causing pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
30	9882	h1	Hyperactivity increases.	Hyperactivity	h2	There is no significant relation between pain-related fear.	pain	NM	NM	NM	NM	0	0	0	0	4	0
31	236428	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	NM	S	NM	NM	0	0	1	0	3	0
32	235895	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	neuromuscular activation	h2	Over time, The altered neuromuscular strategies may contribute to the persistence of the disorder.	neuromuscular strategies	S	NM	NM	L	0	0	1	1	2	0
33	192336	h1	Fighting against the pain and unwillingness to experience the pain needed to be limited.	pain	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pain interference	S	NM	NM	L	0	0	1	1	2	0
34	237648	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	NM	NM	NM	S	0	0	1	0	3	0
36	268761	h1	Reports regarding tai chi tended to alter pain-related cognition.	pain-related cognition	h2	Individuals with pain-related fear continue to restrict lumbar motion.	pain-related fear	NM	NM	NM	S	0	0	1	0	3	0
37	188233	h2	The studies provide support for the validity of the pain-related fear measures used.	fear	h1	The sheer number of skills that patients are expected to acquire may contribute to patient dropout and poor adherence.	dropout	NM	NM	NM	NM	0	0	0	0	4	0
38	235236	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	NM	S	NM	NM	0	0	1	0	3	0
40	150551	h2	Lower levels of habitual physical activity may represent an additional individual constraint.	individual constraint	h1	The primary focus of this study is on pain interference.	interference	NM	NM	NM	NM	0	0	0	0	4	0
42	250775	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain	S	S	NM	NM	0	0	2	0	2	0
43	81282	h1	Participants were adults with chronic pain secondary to multiple sclerosis (MS).	chronic pain	h1	The decrease in high pain days reported by patients who had received PCST was significantly lesser than that reported by those in the SC condition (t 3.66; P .0003).	high pain day	NM	NM	NM	NM	0	0	0	0	4	0
44	280607	h1	Muscle tension may play a role in muscle tension's persistence.	persistence	h1	detailed thought records additionally recounted physical reactions.	thought	NM	NM	NM	NM	0	0	0	0	4	0
45	166263	h2	Pain influences muscle activation.	muscle activation	h2	Both groups, with and without spinal pain, were challenged by vibrating ankle muscles or paraspinal muscles.	paraspinal muscles	NM	NM	NM	NM	0	0	0	0	4	0
46	235252	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	The hypnosis protocol used in this study did not have substantial effects on pain interference.	pain interference	NM	L	NM	NM	0	0	0	1	3	0
47	74372	h1	Results suggested that people who completed all 10 sessions of treatment experienced a significant decrease in pain catastrophizing.	catastrophizing	h2	Greater disease progression correlates with further reductions in persistence.	persistence	NM	O	NM	NM	0	0	0	0	3	1
48	91593	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in depressive symptoms was not significant.	pretreatment	h1	Within a given treatment epoch, reductions in precontemplation attitudes were associated with improvements in pain intensity.	treatment epoch	NM	O	NM	NM	0	0	0	0	3	1
49	208973	h1	Participants were encouraged to understand how affective factors shape pain.	pain	h1	Distress can make pain worse.	Distress	NM	S	NM	NM	0	0	1	0	3	0
51	185669	h1	This indicates that treatment groups had similar effects on pain interference changes.	interference	h2	The highest correlations were found among pain-related fear measures.	fear	NM	NM	NM	NM	0	0	0	0	4	0
55	182259	h1	Cognitive changes may beget outcome improvements.	Cognitive changes	h1	Psychosocial factors play an important role in associated physical disability.	Psychosocial factors	NM	NM	NM	NM	0	0	0	0	4	0
56	243590	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	S	NM	NM	0	0	1	0	3	0
57	75072	h1	Results suggested that people who completed all 10 sessions of treatment experienced a significant decrease in pain catastrophizing.	pain	h2	Persons with spinal pain were more sensitive to triceps surae vibration.	spinal pain	NM	NM	S	S	0	0	2	0	2	0
60	101680	h1	Exercise may reduce disability in osteoarthritis patients.	disability	h1	It might be argued that the changes in cognitive errors were not due to decreased pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
62	26659	h1	Mood disturbance is also a symptom of Fibromyalgia (FM.	Mood disturbance	h2	A body image disruption can be associated with an incorrect pain rating.	body image disruption	NM	NM	NM	NM	0	0	0	0	4	0
64	61285	h1	Feelings occur in situations in which patients had difficulty coping with pain.	Feeling	h1	The sheer number of skills that patients are expected to acquire may contribute to patient dropout and poor adherence.	dropout	NM	L	NM	NM	0	0	0	1	3	0
65	140343	h1	The rate of symptom improvement may differ.	symptom	h1	Visual feedback of bodily reactions was used to demonstrate the effect of stress on muscle tension in session 2.	stress	NM	NM	NM	S	0	0	1	0	3	0
66	102260	h1	Exercise may reduce disability in osteoarthritis patients.	Exercise	h2	The patients in a group of patients avoid physical activities and fear pain/(re)injury.	pain	NM	NM	NM	NM	0	0	0	0	4	0
67	41873	h2	Evidence suggests that changes in cognitive demands can alter trunk muscle activation.	activation	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in depressive symptoms was not significant.	pretreatment	NM	L	NM	NM	0	0	0	1	3	0
68	191132	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	NM	L	NM	L	0	0	0	2	2	0
70	25746	h2	Fluctuations in repeated human movements arise from external disturbances.	disturbances	h2	Multitudinous complementary mechanisms also involve decreased rates of breakdown.	breakdown	NM	NM	NM	NM	0	0	0	0	4	0
72	142817	h1	Catastrophizing changed significantly in the sample as a whole, indicating improvement.	Catastrophizing	h1	Distress can make pain worse.	Distress	NM	NM	NM	NM	0	0	0	0	4	0
73	82572	h1	Thirty-seven adults had spinal-cord injury and chronic pain.	chronic pain	h1	The purpose was to predict 4-week- to-posttreatment changes in pain interference change scores.	pain	NM	NM	S	S	0	0	2	0	2	0
75	45878	h1	Fibromyalgia can affect various parts of the body.	affect various parts of the body	h2	Patients with LBP stiffen the trunk.	stiffen the trunk	NM	S	S	NM	0	0	2	0	2	0
77	82411	h1	Thirty-seven adults had spinal-cord injury and chronic pain.	chronic pain	h2	Those reporting high pain-intensity have difficulty in engaging in distraction tasks.	pain-intensity	NM	NM	NM	NM	0	0	0	0	4	0
80	8886	h2	Fear of pain may be more related to short-lasting pain increases.	Fear of pain	h2	There were significant correlations between cognitive improvements and reduction of pain sensation.	reduction of pain sensation	NM	NM	NM	NM	0	0	0	0	4	0
81	217368	h1	information tailored to the participants' particular medical condition was based on what is known about pain in LBP.	pain	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in pain interference was significant.	pain interference	NM	NM	NM	L	0	0	0	1	3	0
82	175722	h1	If there are no significant treatment differences in outcome.	outcome	h1	Evidence shows that adherence is associated with positive outcomes.	positive outcomes	S	NM	S	S	0	0	3	0	1	0
84	59973	h1	Depression is left untreated.	Depression	h1	Distress can make pain worse.	Distress	NM	NM	NM	S	0	0	1	0	3	0
86	17734	h1	Pain-related distress reduced by 0.37 units.	Pain-related distress	h1	Reports regarding tai chi tended to alter pain-related cognition.	pain-related cognition	L	NM	NM	S	0	0	1	1	2	0
87	37081	h2	Undesirable responses are triggered by external or internal perturbations.	Undesirable response	h1	Stress is a common cause of complaints.	Stress	L	L	NM	NM	0	0	0	2	2	0
88	27396	h1	Mood disturbance is also a symptom of Fibromyalgia (FM.	Fibromyalgia	h2	Persons with spinal pain were less sensitive to paraspinal vibration.	spinal pain	L	NM	NM	S	0	0	1	1	2	0
89	188709	h1	The pain and interference should have been present for at least 6 months.	pain	h1	Distress can make pain worse.	Distress	NM	NM	NM		0	0	0	0	3	0
90	134069	h1	Those in the SC condition reported a greater decrease in high pain days at follow-up.	high pain	h1	Persistent pain leads to social isolation for some.	Persistent pain	L	NM	NM	NM	0	0	0	1	3	0
92	242439	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	h1	High levels of pain anxiety compromise participation in rehabilitation.	pain anxiety	NM	NM	NM	NM	0	0	0	0	4	0
93	52225	h1	Perhaps this was because patients who were experiencing lower levels of depression had higher rates of attrition.	depression	h1	Distress can make pain worse.	Distress	NM	L	NM	S	0	0	1	1	2	0
95	289591	h2	Experienced pain increase was less predictive of physical performance.	pain	h1	a study focused on the prevention of relapse/recurrence in major depression.	relapse	NM	NM	NM	NM	0	0	0	0	4	0
96	28923	h1	Pain may be caused or exacerbated by anxiety.	Pain	h2	The studies provide support for the validity of the pain-related fear measures used.	fear	NM	NM	NM	NM	0	0	0	0	4	0
98	181057	h1	Cognitive changes may beget outcome improvements.	Cognitive changes	h2	Greater disease progression correlates with further reductions in persistence.	disease progression	NM	L	NM	NM	0	0	0	1	3	0
100	9890	h1	Hyperactivity increases.	Hyperactivity	h1	The majority of pain treatments available to persons with spinal-cord injury (SCI) have been shown to benefit only a subset of patients.	pain	NM	NM	NM	NM	0	0	0	0	4	0
101	249570	h1	Change in cognitive process was not associated with change in pain interference across any treatment condition.	pain interference	h1	Our finding is that the BIO treatment condition may have resulted in greater pain reduction than the BIO treatment condition.	pain reduction	L	NM	NM	NM	0	0	0	1	3	0
102	21137	h2	Cortical plasticity is caused by sensorimotor or cognitive stimulation.	sensorimotor	h2	Pain influences motor response in individuals with LBP.	Pain	NM	NM	NM	NM	0	0	0	0	4	0
103	191116	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	NM	L	NM	L	0	0	0	2	2	0
104	173244	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	h1	Within a given treatment epoch, reductions in precontemplation attitudes were associated with improvements in pain intensity.	pain intensity	NM	NM	NM	NM	0	0	0	0	4	0
105	9468	h2	Fear of pain may be more related to short-lasting pain increases.	pain	h2	VR rehabilitation potentiates patients' learning and recovery.	recovery	O	NM	NM	NM	0	0	0	0	3	1
107	166752	h2	Pain influences muscle activation.	Pain	h2	Greater disease progression correlates with further reductions in persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
108	91497	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in depressive symptoms was not significant.	pretreatment	h2	The hypothesized sensory deficiency might be due to movement causing pain.	movement	NM	NM	NM	NM	0	0	0	0	4	0
109	254336	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	L	O	NM	NM	0	0	0	1	2	1
110	67477	h1	The rational of using ACT in the context of longstanding pain was based on established relationships between fear, anxiety, stress, muscle tension, negative thoughts, and pain.	fear	h1	Stress is a common cause of complaints.	Stress	NM	NM	NM	NM	0	0	0	0	4	0
111	125472	h1	The affected items include sleep disturbance, decrease in libido, and increased fatigue.	fatigue	h2	The highest correlations were found among pain-related fear measures.	pain	NM	NM	NM	NM	0	0	0	0	4	0
112	16199	h1	Additionally, This study highlights the role of common factors in MM, CT, and MBCT for CLBP.	CLBP	h1	MBSR group participants' Sleep Disturbance scores differed significantly from TAU participants beginning at session 2.	MBSR	NM	NM	NM	NM	0	0	0	0	4	0
113	147209	h1	Inactivity contributes to increased pain for some people.	increased pain	h2	Chronic pain may cause an unpleasant feeling.	Chronic pain	NM	L	NM	NM	0	0	0	1	3	0
114	276514	h1	High levels of pain anxiety compromise participation in rehabilitation.	pain anxiety	h1	The failure to adaptively process conflicts appears to drive somatic symptoms.	somatic symptoms	NM	NM	NM	S	0	0	1	0	3	0
115	127918	h2	Patients fear harm during physical activities.	fear	h1	Relationship problems can make pain worse.	pain	NM	NM	NM	NM	0	0	0	0	4	0
117	36274	h2	Sensorimotor deficits may result from normal aging.	Sensorimotor deficits	h2	Our findings suggest that postural control is impaired in individuals with cLBP.	postural control	NM	NM	NM	S	0	0	1	0	3	0
118	184012	h2	The hypothesized sensory deficiency might be due to movement causing pain.	pain	h1	Participants in the self-hypnosis condition were asked to report the number of hours pain relief usually lasted after Participants in the self-hypnosis condition listened to an audio recording of one of Participants in the self-hypnosis condition's sessions.	pain relief	NM	O	NM	L	0	0	0	1	2	1
119	33294	h2	Postural stability is achieved through input from the proprioceptive system.	proprioceptive system	h2	Our findings suggest that postural control is impaired in individuals with cLBP.	postural control	NM	L	NM	L	0	0	0	2	2	0
120	169175	h1	Visual feedback of bodily reactions was used to demonstrate the effect of stress on muscle tension in session 2.	stress	h1	Pretreatment to posttreatment within treatment effect sizes ranged from Cohens d 5 0.15 to 0.37.	Pretreatment	NM	NM	NM	NM	0	0	0	0	4	0
121	3659	h2	Chronic back pain patients are systematically exposed to a series of physical activities.	Chronic back pain	h1	Persistent pain leads to anxiety for some.	Persistent pain	NM	L	NM	S	0	0	1	1	2	0
122	236464	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	L	NM	NM	NM	0	0	0	1	3	0
124	194709	h2	The activation depends on whether back muscles are focused on back muscles's pain.	pain	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	NM	L	NM	L	0	0	0	2	2	0
125	109852	h1	Psychodynamic therapy successfully treats trauma and emotional conflicts.	emotional conflicts	h2	Chronic pain may affect emotional functioning.	emotional functioning	NM	NM	NM	L	0	0	0	1	3	0
127	189942	h1	A substantial proportion of patients with spinal-cord injury (SCI) experience severe, ongoing pain.	pain	h1	There was no evidence for significant indirect effects (mediation) of the practice of listening to the audio recordings on pain interference.	pain interference	NM	NM	NM	L	0	0	0	1	3	0
128	238848	h1	The number of days participants listened to the audio recordings provided with treatment did not show an indirect effect on change in pain intensity.	pain intensity	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	L	L	NM	NM	0	0	0	2	2	0
129	235272	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	L	NM	NM	NM	0	0	0	1	3	0
130	10782	h2	Postural instability is observed in persons with spinal pain.	Postural instability	h2	Postural stability is achieved through input from the proprioceptive system.	Postural stability	O	O	O	O	0	0	0	0	0	4
133	53283	h2	Fear instigates avoidance behavior.	Fear	h1	Catastrophizing changed significantly in the sample as a whole, indicating improvement.	Catastrophizing	NM	NM	NM	NM	0	0	0	0	4	0
134	246568	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	L	NM	NM	0	0	0	1	3	0
135	140543	h1	The rate of symptom improvement may differ.	symptom	h2	The presence of pain radiating into at least one leg influenced physical performance.	pain	NM	NM	NM	S	0	0	1	0	3	0
136	85566	h1	Participants were excluded if Participants had chronic pain due to malignancy.	malignancy	h2	Only those who reported low pain showed changes in temporal activation profiles.	pain	NM	NM	NM	NM	0	0	0	0	4	0
137	80312	h1	Participants were adults with chronic pain secondary to muscular dystrophy (MD).	chronic pain	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	NM	NM	NM	NM	0	0	0	0	4	0
138	198430	h2	However, this sensitivity is only present when attention resources are available, specifically in cases of lower pain.	pain	h2	Individuals in high pain have less responsiveness to changing task conditions.	responsiveness	NM	L	NM	NM	0	0	0	1	3	0
139	219697	h1	Support has been found for disability beliefs as mediators of pain treatment.	pain	h1	Support has been found for disability beliefs as mediators of pain treatment.	disability	NM	L	NM	NM	0	0	0	1	3	0
141	29730	h1	Pain may be caused or exacerbated by anxiety.	anxiety	h2	physical activities can promote a gradual progress towards recovery.	recovery	NM	NM	NM	NM	0	0	0	0	4	0
142	234628	h1	Only baseline pain interference had a significant effect on the change in pain catastrophizing.	pain interference	h1	The number of days participants listened to the audio recordings provided with treatment did not show an indirect effect on change in pain intensity.	pain intensity	NM	NM	NM	NM	0	0	0	0	4	0
143	91430	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in depressive symptoms was not significant.	pretreatment	h1	Activity engagement changed significantly in the sample as a whole, indicating improvement.	improvement	NM	NM	NM	NM	0	0	0	0	4	0
144	204357	h1	Interference is not affected by posttreatment changes in pain intensity.	pain	h2	Chronic pain degrades people's quality of life.	Chronic pain	NM	NM	S	S	0	0	2	0	2	0
145	235238	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	There was no evidence for significant indirect effects (mediation) of the practice of listening to the audio recordings on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
146	126925	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	fear	h2	Persons with spinal pain were more sensitive to triceps surae vibration.	vibration	NM	NM	NM	NM	0	0	0	0	4	0
149	162510	h1	The results of this study demonstrate that patients having osteoarthritic knee pain benefit from pain coping skills training.	knee pain	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	NM	NM	NM	NM	0	0	0	0	4	0
150	223429	h1	Relationship problems can make pain worse.	pain	h2	Chronic pain degrades people's quality of life.	Chronic pain	S	L	S	S	0	0	3	1	0	0
152	105256	h1	Persistent pain leads to disability for some.	disability	h1	It might be argued that the changes in cognitive errors were not due to decreased pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
153	110037	h1	Psychodynamic therapy successfully treats trauma and emotional conflicts.	emotional conflicts	h1	Distress can make pain worse.	Distress	L	S	L	S	0	0	2	2	0	0
156	173414	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	h2	Both groups, with and without spinal pain, were challenged by vibrating ankle muscles or paraspinal muscles.	spinal pain	NM	S	NM	L	0	0	1	1	2	0
157	168952	h1	Visual feedback of bodily reactions was used to demonstrate the effect of stress on muscle tension in session 2.	stress	h2	major outcomes are also manifested when motor neuron activity inhibits muscular contractions.	muscular contractions	NM	NM	NM	NM	0	0	0	0	4	0
158	186368	h2	The highest correlations were found among pain-related fear measures.	pain	h1	Change in mindful observing, however, was not significantly correlated with improved pain interference.	pain interference	NM	NM	NM	L	0	0	0	1	3	0
159	47249	h2	Back pain will affect work to some extent for certain individuals (Q6).	Back pain	h1	Pain caused difficulty in performing daily activities.	Pain	S	S	S	S	0	0	4	0	0	0
161	126692	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	fear	h2	Those in high pain in the present study were not influenced by directed attention.	pain	NM	NM	NM	NM	0	0	0	0	4	0
162	123011	h2	Finally, The studies should examine the fatigue of the legs directly related to the walking motion.	fatigue	h1	The rate of symptom improvement may differ.	symptom	S	S	NM	S	0	0	3	0	1	0
163	240040	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	L	NM	NM	NM	0	0	0	1	3	0
164	80308	h1	Participants were adults with chronic pain secondary to muscular dystrophy (MD).	chronic pain	h1	Participants in the self-hypnosis condition were asked to report the number of hours pain relief usually lasted after Participants in the self-hypnosis condition listened to an audio recording of one of Participants in the self-hypnosis condition's sessions.	pain relief	O	O	NM	NM	0	0	0	0	2	2
165	242388	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	L	NM	NM	NM	0	0	0	1	3	0
166	140037	h1	The rate of symptom improvement may differ.	improvement	h2	Persons with spinal pain were more sensitive to triceps surae vibration.	vibration	NM	NM	NM	NM	0	0	0	0	4	0
167	237618	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	L	L	NM	NM	0	0	0	2	2	0
169	123122	h2	Finally, The studies should examine the fatigue of the legs directly related to the walking motion.	fatigue	h2	There is no significant relation between pain-related fear.	pain	NM	NM	NM	NM	0	0	0	0	4	0
170	234670	h1	Only baseline pain interference had a significant effect on the change in pain catastrophizing.	pain interference	h1	Our finding is that the BIO treatment condition may have resulted in greater pain reduction than the BIO treatment condition.	pain reduction	L	NM	NM	NM	0	0	0	1	3	0
171	93966	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	S	NM	S	S	0	0	3	0	1	0
172	5174	h1	Chronic pain is a growing problem.	Chronic pain	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pain intensity	NM	NM	NM	NM	0	0	0	0	4	0
173	173248	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	NM	O	NM	NM	0	0	0	0	3	1
174	12968	h2	We wanted to investigate whether pain-related fear is associated with poor behavioral performance in studies 1 and 3.	pain-related fear	h1	The improvements in pain intensity and pain-related distress were small.	pain-related distress	L	NM	L	S	0	0	1	2	1	0
175	52208	h1	Perhaps this was because patients who were experiencing lower levels of depression had higher rates of attrition.	depression	h1	Pre-treatment decrease in depressive symptoms was associated with the decrease in pain intensity.	pain	NM	L	NM	NM	0	0	0	1	3	0
176	190101	h1	A substantial proportion of patients with spinal-cord injury (SCI) experience severe, ongoing pain.	pain	h2	Persons with spinal pain were more sensitive to triceps surae vibration.	vibration	NM	NM	NM	NM	0	0	0	0	4	0
178	321197	h1	52% of the hypnosis participants reported these reductions.	reduction	h1	Did the treatment give you any relief?	treatment	NM	NM	NM	NM	0	0	0	0	4	0
179	83709	h1	Participants were adults with chronic pain secondary to spinal cord injury (SCI).	chronic pain	h1	The 9-item subscale measures the degree to which pain interferes with various aspects of life.	pain	S	NM	S	S	0	0	3	0	1	0
180	45876	h1	Fibromyalgia can affect various parts of the body.	affect various parts of the body	h2	Patients with LBP stiffen the pelvis.	stiffen the pelvis	NM	L	NM	NM	0	0	0	1	3	0
181	90322	h2	the reduction of disability would lead to the reduction of associated costs.	disability	h2	The activation depends on whether back muscles are focused on back muscles's pain.	pain	NM	NM	NM	NM	0	0	0	0	4	0
182	92852	h1	The significance of the pretreatment-to-4-week decrease in pain intensity (assessed with NRS) was F(1, 93) 8.89; p .006; 2 .115.	pretreatment	h2	These findings indicate that individual constraints reduce persistence.	persistence	NM	NM	NM	NM	0	0	0	0	4	0
183	30240	h1	Pain may be caused or exacerbated by muscle tension.	Pain	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	NM	NM	NM	NM	0	0	0	0	4	0
184	243077	h1	The converse pretreatment-to-4-week changes in pain intensity related to Week 8 WAI scores was not significant.	pretreatment	h1	Another treatment may not produce the final degree of posttreatment change until the final session.	treatment	NM	NM	NM	NM	0	0	0	0	4	0
185	129189	h2	The TSK was developed to measure fear of (re)injury.	fear	h1	The improvements in pain intensity and pain-related distress were small.	pain	NM	NM	NM	NM	0	0	0	0	4	0
186	255528	h1	The hypnosis protocol used in this study did not have substantial effects on pain interference.	pain interference	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	L	O	NM	NM	0	0	0	1	2	1
187	77357	h1	Stress is a common cause of complaints.	Stress	h2	These findings indicate that individual constraints reduce persistence.	individual constraints	NM	NM	NM	S	0	0	1	0	3	0
188	162522	h1	The results of this study demonstrate that patients having osteoarthritic knee pain benefit from pain coping skills training.	knee pain	h1	Decrease in depressive symptoms was associated with a decrease in pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
189	173295	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain	NM	NM	S	S	0	0	2	0	2	0
190	66514	h2	The purpose was to determine how changes in pain focus influenced trunk muscle activation patterns.	muscle	h1	The primary focus of this study is on pain interference.	pain	NM	L	NM	NM	0	0	0	1	3	0
193	9571	h1	Hyperactivity increases.	Hyperactivity	h2	Cortical plasticity is caused by sensorimotor or cognitive stimulation.	sensorimotor	NM	L	NM	NM	0	0	0	1	3	0
194	22303	h1	Dropouts happen, and it is unknown how many are due to dissatisfaction or unrecorded worse pain.	dissatisfaction	h1	No variable, including change in catastrophizing, showed a significant indirect effect.	catastrophizing	NM	NM	NM	NM	0	0	0	0	4	0
196	129249	h2	The TSK was developed to measure fear of (re)injury.	fear	h1	Patients who had received PCST/MT reported a greater increase in positive mood at posttreatment.	positive mood	O	NM	NM	O	0	0	0	0	2	2
197	210867	h1	Participants were encouraged to understand how cognitive factors shape pain.	cognitive factors	h1	Psychosocial factors play an important role in associated physical disability.	Psychosocial factors	S	L	NM	NM	0	0	1	1	2	0
198	293731	h1	The sheer number of skills that patients are expected to acquire may contribute to patient dropout and poor adherence.	poor adherence	h1	Evidence shows that adherence is associated with positive outcomes.	adherence	O	O	S	O	0	0	1	0	0	3
201	238822	h1	The number of days participants listened to the audio recordings provided with treatment did not show an indirect effect on change in pain intensity.	pain intensity	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	NM	NM	NM	NM	0	0	0	0	4	0
202	76276	h1	Stress is known to cause complaints.	Stress	h1	an explicit goal was to correct participants' misunderstandings about pain's relationship to injury and tissue damage.	tissue damage	NM	NM	NM	NM	0	0	0	0	4	0
203	93960	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h2	Independent variables are related with pain catastrophizing.	pain catastrophizing	NM	NM	NM	NM	0	0	0	0	4	0
204	38016	h2	Undesirable responses are triggered by external or internal perturbations.	perturbations	h2	Greater disease progression correlates with further reductions in persistence.	persistence	NM	O	NM	NM	0	0	0	0	3	1
207	70544	h2	Multitudinous complementary mechanisms also involve decreased rates of breakdown.	breakdown	h2	The TSK was developed to measure fear of (re)injury.	fear	NM	NM	NM	NM	0	0	0	0	4	0
209	91088	h1	Simple comparisons revealed that the pretreatment-to-4-week decrease in depressive symptoms was not significant.	decrease in depressive symptoms	h1	Any treatment can make lasting positive changes.	positive changes	S	S	NM	S	0	0	3	0	1	0
210	75057	h1	Results suggested that people who completed all 10 sessions of treatment experienced a significant decrease in pain catastrophizing.	pain	h1	The modification allowed for alternative motor responses.	motor	NM	NM	NM	NM	0	0	0	0	4	0
211	96404	h1	Baseline pain interference did not have a direct effect on the change in depressive symptoms.	Baseline pain interference	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	NM	NM	NM	NM	0	0	0	0	4	0
